"","year","jdate","col_area","SD","AD","FID","dist_burrow","sex","age","ageclass","valley_location","trial_number","ID_Code"
"966",2017,166,"northpk",54.6,52.8,52.2,7.8,"F",1,"Yearling","up_valley",1,3572
"967",2019,181,"northpk",53.5,50.4,11.65,18.6,"F",3,"Adult","up_valley",1,3573
"968",2017,198,"northpk",166.8,156,122.4,21,"F",1,"Yearling","up_valley",1,3573
"969",2019,202,"northpk",34,23,2.6,4,"F",3,"Adult","up_valley",3,3573
"970",2017,205,"northpk",60,50.4,3,1,"F",1,"Yearling","up_valley",2,3573
"971",2019,191,"northpk",42,36,6.1,3,"F",3,"Adult","up_valley",2,3573
"972",2020,213,"northpk",181,NA,1.6,1.5,"F",4,"Adult","up_valley",1,3573
"973",2019,226,"northpk",25.5,24.45,4.1,2,"F",3,"Adult","up_valley",4,3573
"974",2018,195,"northpk",37,36,26,3,"F",2,"Adult","up_valley",2,3573
"975",2018,171,"northpk",41.4,21.6,2.3,0,"F",2,"Adult","up_valley",1,3573
"976",2018,164,"mm_maintalus",54,69.5,74,NA,"M",1,"Yearling","up_valley",1,3593
"977",2019,177,"gothictown",37.3,31.25,29.7,50,"F",1,"Yearling","down_valley",1,3724
"978",2019,181,"boulder",38.58,38.55,15.63,1.73,"F",3,"Adult","up_valley",2,3567
"979",2017,166,"northpk",55.2,32.4,31.2,1,"F",1,"Yearling","up_valley",1,3567
"980",2017,169,"northpk",73.2,64.8,61.2,1,"F",1,"Yearling","up_valley",2,3567
"981",2020,243,"northpk",91,86,52,0.6,"F",4,"Adult","up_valley",1,3567
"982",2017,178,"stonefield",106.8,99,91.8,1,"F",1,"Yearling","up_valley",3,3567
"983",2017,184,"stonefield",179.4,175.8,179.4,1,"F",1,"Yearling","up_valley",4,3567
"984",2019,175,"boulder",38,36,32,2,"F",3,"Adult","up_valley",1,3567
"985",2019,182,"bench",46.2,35.1,10.1,NA,"M",1,"Yearling","down_valley",1,3695
"986",2019,199,"bench",40,36,17,1,"M",1,"Yearling","down_valley",2,3695
"987",2018,172,"picnic_lower",47,23.5,18,3,"F",1,"Yearling","up_valley",1,3624
"988",2018,173,"picnic_lower",38,35,17,1,"F",1,"Yearling","up_valley",2,3624
"989",2018,175,"avalanche",50,50,50,0,"F",1,"Yearling","down_valley",1,3641
"990",2020,189,"avalanche",93,73,73,1.1,"F",3,"Adult","down_valley",1,3641
"991",2020,217,"avalanche",82,74,74,1,"F",3,"Adult","down_valley",2,3641
"992",2018,163,"picnic_lower",42,28,26,1,"M",1,"Yearling","up_valley",1,3625
"993",2018,164,"bench",31,26,17,1,"M",1,"Yearling","down_valley",1,3608
"994",2020,191,"northpk",112,92,35,0.9,"F",1,"Yearling","up_valley",1,3794
"995",2020,224,"northpk",60,NA,9,0.3,"F",1,"Yearling","up_valley",2,3794
"996",2019,176,"bench",17.6,15.7,9.1,1,"F",2,"Adult","down_valley",1,3605
"997",2019,182,"bench",48.2,45.1,37.4,7,"F",2,"Adult","down_valley",2,3605
"998",2020,210,"bench",79,31,26,5,"F",3,"Adult","down_valley",1,3605
"999",2020,210,"bench",77,31,9,1,"F",3,"Adult","down_valley",2,3653
"1000",2018,167,"bench",16,13,13,0.5,"F",1,"Yearling","down_valley",1,3653
"1001",2019,182,"bench",34.2,29,22.3,5,"F",2,"Adult","down_valley",1,3653
"1002",2019,212,"bench",22.6,20.2,2.76,0.45,"F",2,"Adult","down_valley",3,3653
"1003",2019,220,"bench",23,17.7,4.6,1,"F",2,"Adult","down_valley",4,3653
"1004",2019,199,"bench",39,27,9,1,"F",2,"Adult","down_valley",2,3653
"1005",2020,191,"bench",21,17,7,1.1,"F",3,"Adult","down_valley",1,3653
"1006",2019,209,"gothictown",36,30,19,3,"F",1,"Yearling","down_valley",1,3721
"1007",2020,191,"northpk",103,88,1.7,0.9,"F",2,"Adult","up_valley",1,3705
"1008",2019,218,"northpk",22.3,13.25,5.7,2,"F",1,"Yearling","up_valley",3,3705
"1009",2019,204,"northpk",56,38,29,7,"F",1,"Yearling","up_valley",2,3705
"1010",2019,191,"northpk",43,38,25,2,"F",1,"Yearling","up_valley",1,3705
"1011",2018,172,"picnic_lower",47,33,29,3,"M",1,"Yearling","up_valley",1,3626
"1012",2019,226,"gothictown",12.5,1.6,9.9,1,"F",1,"Yearling","down_valley",4,3709
"1013",2020,227,"gothictown",148,17,2.1,5,"F",2,"Adult","down_valley",2,3709
"1014",2020,234,"gothictown",36,18,8,NA,"F",2,"Adult","down_valley",3,3709
"1015",2019,183,"gothictown",24.1,2.5,14.7,NA,"F",1,"Yearling","down_valley",1,3709
"1016",2019,209,"gothictown",22,19,16,11,"F",1,"Yearling","down_valley",3,3709
"1017",2020,201,"gothictown",26,15,8,5,"F",2,"Adult","down_valley",1,3709
"1018",2019,200,"gothictown",18.5,5.5,8,5,"F",1,"Yearling","down_valley",2,3709
"1019",2019,175,"mm_maintalus",42.9,2.6,6.9,NA,"F",1,"Yearling","up_valley",1,3682
"1020",2019,190,"mm_maintalus",36.4,10.1,10.5,NA,"F",1,"Yearling","up_valley",2,3682
"1021",2019,181,"gothictown",21.2,16.9,12.6,15,"M",1,"Yearling","down_valley",1,3719
"1022",2019,175,"rvannex",26.4,24.65,11.55,1,"F",1,"Yearling","down_valley",1,3734
"1023",2019,218,"northpk",37.8,31.2,11.8,2,"M",1,"Yearling","up_valley",3,3703
"1024",2019,202,"northpk",39,28,9.7,2,"M",1,"Yearling","up_valley",2,3703
"1025",2019,181,"northpk",33,29.5,25.75,0.74,"M",1,"Yearling","up_valley",1,3703
"1026",2019,182,"gothictown",25.3,2.3,21.3,NA,"M",1,"Yearling","down_valley",1,3687
"1027",2020,203,"mm_aspen",130,130,86,NA,"M",2,"Adult","up_valley",1,3683
"1028",2019,203,"mm_aspen",46,39,31,1,"F",2,"Adult","up_valley",2,3588
"1029",2018,163,"mm_maintalus",55,43,40,NA,"F",1,"Yearling","up_valley",2,3588
"1030",2019,175,"mm_aspen",35.8,11.7,9,1,"F",2,"Adult","up_valley",1,3588
"1031",2018,171,"mm_maintalus",55,47,39.5,NA,"F",1,"Yearling","up_valley",3,3588
"1032",2020,205,"mm_aspen",169,110,103,29,"F",3,"Adult","up_valley",1,3588
"1033",2018,158,"mm_maintalus",76,53.8,45.5,1,"F",1,"Yearling","up_valley",1,3588
"1034",2019,216,"mm_aspen",121,75.2,49.6,3,"F",2,"Adult","up_valley",3,3588
"1035",2019,204,"northpk",58,44,26,2,"F",1,"Yearling","up_valley",1,3706
"1036",2020,232,"northpk",180,109,103,1,"F",2,"Adult","up_valley",1,3706
"1037",2019,228,"mm_maintalus",69,67,59.9,0.5,"F",2,"Adult","up_valley",2,3587
"1038",2018,163,"mm_maintalus",55,36.5,35,NA,"F",1,"Yearling","up_valley",1,3587
"1039",2018,195,"mm_maintalus",74,70,69,1,"F",1,"Yearling","up_valley",2,3587
"1040",2019,226,"mm_maintalus",95.3,78.3,77.05,1.02,"F",2,"Adult","up_valley",1,3587
"1041",2019,182,"bench",39.2,22.4,9.3,4,"F",2,"Adult","down_valley",1,3655
"1042",2018,164,"bench",31,28,8,1,"F",1,"Yearling","down_valley",1,3655
"1043",2019,202,"bench",24.9,11.2,4.15,1,"F",2,"Adult","down_valley",2,3655
"1044",2018,167,"bench",9,8,2.5,0.5,"F",1,"Yearling","down_valley",2,3655
"1045",2018,171,"mm_maintalus",55.5,42.5,42.5,NA,"F",1,"Yearling","up_valley",3,3589
"1046",2018,163,"mm_maintalus",79.5,43,37.5,NA,"F",1,"Yearling","up_valley",2,3589
"1047",2018,195,"mm_maintalus",74,72,70,1,"F",1,"Yearling","up_valley",4,3589
"1048",2018,158,"mm_maintalus",76,NA,56.6,1,"F",1,"Yearling","up_valley",1,3589
"1049",2019,211,"gothictown",36.8,16.8,6.25,1,"F",1,"Yearling","down_valley",6,3755
"1050",2019,209,"gothictown",26,21,11.3,1,"F",1,"Yearling","down_valley",5,3755
"1051",2019,195,"gothictown",22.75,20.1,4.97,0.54,"F",1,"Yearling","down_valley",3,3755
"1052",2019,177,"gothictown",19.3,8.95,3.6,3,"F",1,"Yearling","down_valley",1,3755
"1053",2019,200,"gothictown",13.9,4.3,11.6,NA,"F",1,"Yearling","down_valley",4,3755
"1054",2019,226,"gothictown",18.5,11.4,16.3,1,"F",1,"Yearling","down_valley",7,3755
"1055",2019,181,"gothictown",14.9,7.4,3.8,6,"F",1,"Yearling","down_valley",2,3755
"1056",2019,233,"gothictown",29.8,23.9,4.3,0,"F",1,"Yearling","down_valley",3,3693
"1057",2020,189,"horsemound",37,26,10,0.8,"F",2,"Adult","down_valley",1,3693
"1058",2019,175,"bench",18.6,11.7,4.2,0,"F",1,"Yearling","down_valley",1,3693
"1059",2019,182,"bench",20.6,17.1,5.9,8,"F",1,"Yearling","down_valley",2,3693
"1060",2019,177,"gothictown",27.8,12.1,11.1,1,"F",1,"Yearling","down_valley",1,3756
"1061",2019,226,"gothictown",25,10.8,22.9,NA,"F",1,"Yearling","down_valley",5,3756
"1062",2019,209,"gothictown",24,20,3.8,2,"F",1,"Yearling","down_valley",4,3756
"1063",2019,181,"gothictown",11.9,6.2,3.6,4,"F",1,"Yearling","down_valley",2,3756
"1064",2019,207,"gothictown",22,20,1.6,4,"F",1,"Yearling","down_valley",3,3756
"1065",2019,207,"gothictown",24,18,1.3,1,"M",1,"Yearling","down_valley",4,3761
"1066",2019,200,"gothictown",21.2,7.4,17.7,3,"M",1,"Yearling","down_valley",3,3761
"1067",2019,181,"gothictown",21.5,9.8,19.9,NA,"M",1,"Yearling","down_valley",2,3761
"1068",2020,197,"horsemound",188,62,26,NA,"M",2,"Adult","down_valley",1,3761
"1069",2020,212,"horsemound",38,22,17,0.8,"M",2,"Adult","down_valley",2,3761
"1070",2019,181,"gothictown",23.2,7.6,22,NA,"M",1,"Yearling","down_valley",1,3761
"1071",2020,209,"river_rivermound",117,103,35,6,"F",2,"Adult","down_valley",1,3696
"1072",2019,176,"river_rivermound",57.9,35.9,33.3,3,"F",1,"Yearling","down_valley",1,3696
"1073",2019,177,"mm_maintalus",153,NA,53,1,"F",1,"Yearling","up_valley",1,3679
"1074",2019,226,"gothictown",12.6,4.8,10.7,1,"F",1,"Yearling","down_valley",4,3712
"1075",2020,201,"gothictown",94,79,31,NA,"F",2,"Adult","down_valley",2,3712
"1076",2019,209,"gothictown",20,15,7.2,2,"F",1,"Yearling","down_valley",3,3712
"1077",2019,207,"gothictown",29,19,4,1,"F",1,"Yearling","down_valley",2,3712
"1078",2019,178,"gothictown",20.9,3.3,9.8,2,"F",1,"Yearling","down_valley",1,3712
"1079",2020,197,"gothictown",32,NA,10,1,"F",2,"Adult","down_valley",1,3712
"1080",2019,177,"mm_maintalus",226,212,166,1,"M",1,"Yearling","up_valley",1,3684
"1081",2019,203,"mm_maintalus",53,46,19.1,3,"M",1,"Yearling","up_valley",2,3681
"1082",2019,177,"mm_maintalus",142,NA,116,1,"M",1,"Yearling","up_valley",1,3681
"1083",2019,184,"gothictown",14.9,10.6,13.5,NA,"F",1,"Yearling","down_valley",1,3715
"1084",2020,223,"gothictown",38,NA,4.6,7,"F",1,"Yearling","down_valley",2,3766
"1085",2020,208,"gothictown",26,23,6,NA,"F",1,"Yearling","down_valley",1,3766
"1086",2020,191,"northpk",112,81,79,0.9,"F",1,"Yearling","up_valley",1,3792
"1087",2020,187,"gothictown",14,6,6,0,"F",1,"Yearling","down_valley",1,3762
"1088",2020,202,"gothictown",54,42,4.3,NA,"F",1,"Yearling","down_valley",2,3762
"1089",2019,175,"picnic_lower",48,38.6,36.6,2,"M",1,"Yearling","up_valley",1,3663
"1090",2019,224,"picnic_lower",42,42,16.1,2,"F",1,"Yearling","up_valley",1,3667
"1091",2019,228,"picnic_lower",46.3,28.9,16.4,1,"F",1,"Yearling","up_valley",2,3667
"1092",2019,224,"picnic_lower",42,42,17.2,2,"F",1,"Yearling","up_valley",1,3664
"1093",2019,227,"picnic_lower",26.16,22.7,18.15,1.05,"F",1,"Yearling","up_valley",2,3664
"1094",2020,205,"picnic_lower",150,82,44,4,"F",2,"Adult","up_valley",1,3664
"1095",2019,175,"picnic_lower",90,82.6,62.6,1,"M",1,"Yearling","up_valley",1,3665
"1096",2020,215,"picnic_lower",140,34,24,2.4,"M",2,"Adult","up_valley",1,3665
"1097",2019,176,"rvannex",29.8,17.9,0.75,1,"M",1,"Yearling","down_valley",1,3732
"1098",2020,189,"rvannex",63,NA,9,0.6,"F",2,"Adult","down_valley",1,3731
"1099",2020,209,"rvannex",59,NA,3,1.5,"F",2,"Adult","down_valley",2,3731
"1100",2020,210,"bench",79,NA,11,NA,"M",1,"Yearling","down_valley",3,3778
"1101",2020,187,"gothictown",16,6,2,NA,"M",1,"Yearling","down_valley",1,3778
"1102",2020,197,"gothictown",20,10,4.9,NA,"M",1,"Yearling","down_valley",2,3778
"1103",2020,190,"bench",32,26,7,4,"M",1,"Yearling","down_valley",1,3801
"1104",2019,224,"picnic_lower",39.1,36.6,15.8,2,"F",1,"Yearling","up_valley",2,3674
"1105",2019,219,"picnic_lower",91.5,69.8,36.5,2,"F",1,"Yearling","up_valley",1,3674
"1106",2020,192,"picnic_lower",155,32,32,3,"F",2,"Adult","up_valley",1,3674
"1107",2019,228,"picnic_lower",45.9,37.25,26.35,1,"F",1,"Yearling","up_valley",3,3674
"1108",2020,209,"picnic_lower",126,54,50,1,"F",2,"Adult","up_valley",2,3674
"1109",2003,148,"picnic",198,198,167.5,4,"F",14,"Adult","up_valley",1,1324
