year,Winter_Survival,col_area,massaug,nb_mass,age,ageclass,sex,valley_location,date_of_melt,ID_Code
1987,1,falls,3008.374028,1,4,Adult,F,SATELLITE,135,858
1988,1,rvbend,2778.825832,3,5,Adult,F,down_valley,132,858
1989,1,rvbend,2961.084195,3,6,Adult,F,down_valley,138,858
1990,1,rvbend,NA,NA,7,Adult,F,down_valley,142,858
1991,1,rvbend,3127.540864,2,8,Adult,F,down_valley,123,858
1992,0,rvbend,2878.191067,2,9,Adult,F,down_valley,156,858
2000,0,river,3787.678618,3,1,Yearling,M,down_valley,134,1870
1999,0,picnic_lower,2433.242911,1,1,Yearling,M,up_valley,130,1774
1981,0,cliff,2660.61555,1,1,Yearling,F,up_valley,152,726
1984,1,mmannex,3990.298595,2,2,Adult,M,SATELLITE,145,4182
1985,1,mm,4882.246215,2,3,Adult,M,up_valley,149,4182
1986,0,mm,5010.795872,1,4,Adult,M,up_valley,132,4182
2000,0,river,2924.929852,3,1,Yearling,F,down_valley,134,1868
2000,0,mm,3304.756865,2,1,Yearling,M,up_valley,134,1854
2000,0,mm,2660.965433,1,1,Yearling,F,up_valley,134,1879
2000,0,mm,2642.452804,1,1,Yearling,F,up_valley,134,1850
2000,1,mm,2930.632248,2,1,Yearling,F,up_valley,134,1849
2001,1,mm,NA,NA,2,Adult,F,up_valley,115,1849
2002,1,cliff,3232.145195,6,3,Adult,F,up_valley,142,1849
2003,1,cliff,3371.943966,11,4,Adult,F,up_valley,128,1849
2004,1,cliff,3779.32028,2,5,Adult,F,up_valley,146,1849
2005,1,cliff,4156.0421,1,6,Adult,F,up_valley,132,1849
2006,0,cliff,NA,NA,7,Adult,F,up_valley,121,1849
1974,1,picnic_middle,3061.642324,3,1,Yearling,M,up_valley,157,440
1975,0,picnic_upper,3417.018065,1,2,Adult,M,up_valley,135,440
1984,0,cliff,3091.756699,1,2,Adult,M,up_valley,145,4183
1989,0,picnic_lower,2822.472086,3,1,Yearling,F,up_valley,138,1251
2000,0,mm,2927.882008,4,1,Yearling,F,up_valley,134,1880
1999,0,bellview,3157.705164,1,2,Adult,F,SATELLITE,130,4297
2000,1,mm,3036.082449,4,1,Yearling,F,up_valley,134,1851
2001,1,mm,NA,NA,2,Adult,F,up_valley,115,1851
2002,0,northpk,3341.54609,1,3,Adult,F,up_valley,142,1851
1981,0,beavertalus,2872.338699,1,1,Yearling,M,SATELLITE,152,680
1984,0,picnic_lower,2183.841369,2,1,Yearling,F,up_valley,145,853
1990,1,gothictown,2603.776593,2,1,Yearling,F,down_valley,142,1289
1991,1,gothictown,3096.136007,5,2,Adult,F,down_valley,123,1289
1992,1,gothictown,3234.143747,2,3,Adult,F,down_valley,156,1289
1993,1,gothictown,3298.045494,1,4,Adult,F,down_valley,140,1289
1994,1,gothictown,NA,NA,5,Adult,F,down_valley,170,1289
1995,1,gothictown,3338.970649,3,6,Adult,F,down_valley,140,1289
1996,1,gothictown,3575.979354,4,7,Adult,F,down_valley,152,1289
1997,0,gothictown,3665.196435,4,8,Adult,F,down_valley,140,1289
2002,0,bellview,4820.880501,1,2,Adult,F,SATELLITE,142,4310
1984,0,cliff,2089.187414,2,1,Yearling,M,up_valley,145,885
2000,0,mm,3199.250547,1,1,Yearling,M,up_valley,134,1884
2000,0,mm,3130.872303,1,1,Yearling,M,up_valley,134,1855
2000,0,river,3602.239411,2,1,Yearling,M,down_valley,134,1871
2000,0,mm,3221.716462,11,1,Yearling,F,up_valley,134,1852
1999,0,picnic_upper,2964.887747,1,1,Yearling,F,up_valley,130,1799
1999,0,boulder,2678.609688,1,1,Yearling,M,up_valley,130,1832
1981,0,mm,2580.39515,7,1,Yearling,F,up_valley,152,739
1990,0,picnic_lower,3014.76056,3,1,Yearling,M,up_valley,142,1315
1999,1,boulder,NA,NA,1,Yearling,F,up_valley,130,1823
2000,1,boulder,NA,NA,2,Adult,F,up_valley,134,1823
2001,1,boulder,NA,NA,3,Adult,F,up_valley,115,1823
2002,1,boulder,3189.698857,8,4,Adult,F,up_valley,142,1823
2003,1,boulder,4261.069583,8,5,Adult,F,up_valley,128,1823
2004,1,boulder,3358.392864,4,6,Adult,F,up_valley,146,1823
2005,1,boulder,3722.21133,1,7,Adult,F,up_valley,132,1823
2006,0,boulder,3202.512195,9,8,Adult,F,up_valley,121,1823
1999,0,boulder,2590.526174,2,1,Yearling,F,up_valley,130,1824
1998,0,waterfalltalus,3298.074924,1,2,Adult,M,SATELLITE,145,4291
1999,0,boulder,2634.920209,1,1,Yearling,F,up_valley,130,1827
1990,0,picnic_lower,2499.157657,3,1,Yearling,M,up_valley,142,1329
1999,1,picnic_upper,2753.518645,1,1,Yearling,M,up_valley,130,1787
2000,1,picnic_upper,NA,NA,2,Adult,M,up_valley,134,1787
2001,1,picnic_upper,NA,NA,3,Adult,M,up_valley,115,1787
2002,1,beavertalus,5726.877981,3,4,Adult,M,SATELLITE,142,1787
2003,1,beavertalus,NA,NA,5,Adult,M,SATELLITE,128,1787
2004,1,mm,6144.490703,3,6,Adult,M,up_valley,146,1787
2005,0,mm,NA,NA,7,Adult,M,up_valley,132,1787
1981,1,mm,2666.570071,9,1,Yearling,F,up_valley,152,740
1982,1,mmannex,2988.49066,4,2,Adult,F,SATELLITE,160,740
1983,1,mm,2972.171256,2,3,Adult,F,up_valley,155,740
1984,1,mm,3240.275116,2,4,Adult,F,up_valley,145,740
1985,1,mm,3375.790189,2,5,Adult,F,up_valley,149,740
1986,0,mm,3082.899782,5,6,Adult,F,up_valley,132,740
1999,0,picnic_lower,2760.39931,4,1,Yearling,M,up_valley,130,1776
1999,1,mm,3255.386791,6,1,Yearling,F,up_valley,130,1768
2000,1,mm,NA,NA,2,Adult,F,up_valley,134,1768
2001,0,cliff,3407.540251,4,3,Adult,F,up_valley,115,1768
1999,0,boulder,2522.464805,1,1,Yearling,M,up_valley,130,1838
1999,1,gothictown,3226.240339,5,1,Yearling,F,down_valley,130,1781
2000,0,gothictown,3841.593951,2,2,Adult,F,down_valley,134,1781
1999,1,boulder,3331.724029,3,2,Adult,M,up_valley,130,4298
2000,1,boulder,NA,NA,3,Adult,M,up_valley,134,4298
2001,1,boulder,4486.57048,1,4,Adult,M,up_valley,115,4298
2002,0,boulder,4783.482569,2,5,Adult,M,up_valley,142,4298
1999,0,boulder,2861.510659,1,1,Yearling,F,up_valley,130,1829
1981,1,mm,2431.464426,10,1,Yearling,F,up_valley,152,741
1982,0,mmannex,2970.59912,5,2,Adult,F,SATELLITE,160,741
1998,0,gothictown,3746.320776,1,2,Adult,M,down_valley,145,4292
1999,0,river,2981.129911,4,1,Yearling,F,down_valley,130,1796
1990,0,picnic_lower,3183.822911,3,1,Yearling,M,up_valley,142,1316
1999,0,boulder,2965.878144,1,1,Yearling,M,up_valley,130,1836
1999,0,boulder,2627.482357,1,1,Yearling,M,up_valley,130,1837
1981,1,mm,2667.992786,5,1,Yearling,F,up_valley,152,742
1982,0,picnic_upper,3139.115698,1,2,Adult,F,up_valley,160,742
1990,1,picnic_middle,2566.05582,8,1,Yearling,F,up_valley,142,1293
1991,0,picnic_middle,NA,NA,2,Adult,F,up_valley,123,1293
1998,0,rvannex,2969.513433,1,1,Yearling,F,down_valley,145,1763
1999,0,boulder,2558.871646,1,1,Yearling,F,up_valley,130,1830
1983,1,beavertalus,NA,NA,1,Yearling,M,SATELLITE,155,827
1984,1,beavertalus,2973.958782,2,2,Adult,M,SATELLITE,145,827
1985,0,beavertalus,4059.103721,1,3,Adult,M,SATELLITE,149,827
1987,0,gothictown,3078.624435,2,1,Yearling,F,down_valley,135,1036
1990,0,picnic_lower,2627.748711,3,1,Yearling,F,up_valley,142,1285
1981,1,mm,3086.445335,7,1,Yearling,M,up_valley,152,747
1982,1,northpk,3364.135826,1,2,Adult,M,up_valley,160,747
1983,0,northpk,4058.356516,1,3,Adult,M,up_valley,155,747
2001,0,mm,3382.162018,1,1,Yearling,M,up_valley,115,1929
2001,1,river,3322.840667,5,1,Yearling,F,down_valley,115,1896
2002,1,river,3530.448174,12,2,Adult,F,down_valley,142,1896
2003,1,river,3732.430264,1,3,Adult,F,down_valley,128,1896
2004,1,river,3555.640403,8,4,Adult,F,down_valley,146,1896
2005,1,river,3686.073943,3,5,Adult,F,down_valley,132,1896
2006,0,river,3734.506004,8,6,Adult,F,down_valley,121,1896
2013,0,avalanche,3334.668095,9,1,Yearling,F,down_valley,146,3239
1990,1,picnic_lower,2832.663884,8,1,Yearling,F,up_valley,142,1312
1991,1,picnic_lower,3280.856553,11,2,Adult,F,up_valley,123,1312
1992,0,picnic_lower,3288.958483,11,3,Adult,F,up_valley,156,1312
1981,0,picnic_lower,2786.343252,1,1,Yearling,M,up_valley,152,713
2001,0,picnic_upper,2759.888817,1,1,Yearling,F,up_valley,115,1914
2001,0,mm,3063.303644,7,1,Yearling,F,up_valley,115,1903
2003,1,cliff,3224.857013,3,1,Yearling,F,up_valley,128,2015
2004,0,cliff,3157.272979,1,2,Adult,F,up_valley,146,2015
2001,1,mm,3078.355063,1,1,Yearling,F,up_valley,115,1925
2002,1,mm,3581.843088,1,2,Adult,F,up_valley,142,1925
2004,0,averycampground,3362.686353,1,4,Adult,F,SATELLITE,146,1925
2001,0,mm,3225.51819,1,1,Yearling,M,up_valley,115,1932
2003,0,cliff,3524.854824,2,1,Yearling,M,up_valley,128,2018
1981,1,mm,2752.256853,6,1,Yearling,F,up_valley,152,743
1982,0,mm,NA,NA,2,Adult,F,up_valley,160,743
2000,1,picnic_lower,2895.869912,6,1,Yearling,M,up_valley,134,1866
2001,0,picnic_lower,4460.741655,2,2,Adult,M,up_valley,115,1866
2003,1,mm,3883.090877,2,1,Yearling,M,up_valley,128,2001
2004,0,mm_aspen,NA,NA,2,Adult,M,up_valley,146,2001
2001,0,mm,2914.311279,1,1,Yearling,M,up_valley,115,1934
2003,1,bench,3045.467442,2,1,Yearling,F,down_valley,128,1973
2004,1,river_rivermound,2883.957242,2,2,Adult,F,down_valley,146,1973
2005,1,river,2866.354417,3,3,Adult,F,down_valley,132,1973
2006,0,river_rivermound,NA,NA,4,Adult,F,down_valley,121,1973
2001,0,river,3375.450174,5,1,Yearling,F,down_valley,115,1898
2001,0,mm,3446.34286,3,1,Yearling,M,up_valley,115,1907
2003,0,mm,3651.216702,2,1,Yearling,M,up_valley,128,2002
2000,0,gothictown,2697.473585,1,1,Yearling,M,down_valley,134,1892
2003,0,mm,3104.195999,12,1,Yearling,F,up_valley,128,1997
2001,0,mm,2943.308379,6,1,Yearling,F,up_valley,115,1904
2000,1,gothictown,2824.798104,2,2,Adult,F,down_valley,134,4300
2001,1,gothictown,3261.620424,1,3,Adult,F,down_valley,115,4300
2003,1,gothictown,3442.771574,1,5,Adult,F,down_valley,128,4300
2004,1,gothictown,3381.225261,3,6,Adult,F,down_valley,146,4300
2005,1,gothictown,3315.57724,2,7,Adult,F,down_valley,132,4300
2006,0,gothictown,NA,NA,8,Adult,F,down_valley,121,4300
1981,0,mm,3083.492668,9,1,Yearling,M,up_valley,152,749
2000,0,picnic_upper,2608.443544,1,1,Yearling,F,up_valley,134,1861
2002,0,bellview,3884.480778,1,2,Adult,F,SATELLITE,142,4311
2001,0,gothictown,3654.342907,5,1,Yearling,M,down_valley,115,1920
2001,1,gothictown,3514.735985,1,1,Yearling,M,down_valley,115,1924
2002,1,gothictown,4152.52355,1,2,Adult,M,down_valley,142,1924
2003,1,gothictown,4494.435137,2,3,Adult,M,down_valley,128,1924
2004,1,gothictown,NA,NA,4,Adult,M,down_valley,146,1924
2005,0,gothictown,NA,NA,5,Adult,M,down_valley,132,1924
2002,0,bellview,3629.291461,1,2,Adult,F,SATELLITE,142,4312
2003,0,mm,3475.756496,5,1,Yearling,F,up_valley,128,1998
2003,1,picnic_lower,3337.973414,18,1,Yearling,F,up_valley,128,2004
2004,1,picnic_lower,3991.531429,9,2,Adult,F,up_valley,146,2004
2005,1,picnic_lower,3086.842819,15,3,Adult,F,up_valley,132,2004
2006,1,picnic_lower,3123.066543,6,4,Adult,F,up_valley,121,2004
2007,1,picnic_lower,4146.300511,8,5,Adult,F,up_valley,152,2004
2008,0,picnic_lower,3899.982987,3,6,Adult,F,up_valley,131,2004
2003,1,mm,2937.036755,6,1,Yearling,F,up_valley,128,1999
2004,0,mm_aspen,NA,NA,2,Adult,F,up_valley,146,1999
2001,1,mm,2734.422072,5,1,Yearling,F,up_valley,115,1901
2002,1,mm,3307.52264,3,2,Adult,F,up_valley,142,1901
2003,1,mm,2700.173634,11,3,Adult,F,up_valley,128,1901
2004,1,mm,3177.76918,5,4,Adult,F,up_valley,146,1901
2005,1,mm,3624.682937,1,5,Adult,F,up_valley,132,1901
2006,1,mm,2792.406825,3,6,Adult,F,up_valley,121,1901
2007,1,mm,3362.938742,3,7,Adult,F,up_valley,152,1901
2008,0,mm,3517.128494,3,8,Adult,F,up_valley,131,1901
1981,0,mm,3237.297342,3,1,Yearling,M,up_valley,152,750
1990,0,falls,2517.198981,2,1,Yearling,F,SATELLITE,142,1264
2001,0,river,3194.578304,1,1,Yearling,F,down_valley,115,1922
2003,1,picnic_upper,3068.269958,8,1,Yearling,F,up_valley,128,2060
2004,1,picnic_upper,2782.110195,8,2,Adult,F,up_valley,146,2060
2005,1,picnic,2968.945293,7,3,Adult,F,up_valley,132,2060
2006,0,picnic_lower,3051.415534,5,4,Adult,F,up_valley,121,2060
2003,1,picnic_lower,3813.250184,19,1,Yearling,M,up_valley,128,2007
2005,1,picnic_upper,5628.67738,1,3,Adult,M,up_valley,132,2007
2006,1,northpk,NA,NA,4,Adult,M,up_valley,121,2007
2007,0,boulder,NA,NA,5,Adult,M,up_valley,152,2007
2002,0,bellview,3784.391464,1,2,Adult,M,SATELLITE,142,4313
2003,1,picnic_lower,3728.468839,14,1,Yearling,F,up_valley,128,2054
2004,1,picnic_lower,3463.309941,7,2,Adult,F,up_valley,146,2054
2005,1,mm,NA,NA,3,Adult,F,up_valley,132,2054
2006,0,mm,NA,NA,4,Adult,F,up_valley,121,2054
2003,1,stonefield,3291.286198,5,1,Yearling,F,up_valley,128,1986
2004,1,stonefield,3696.44135,3,2,Adult,F,up_valley,146,1986
2005,1,stonefield,3924.908689,1,3,Adult,F,up_valley,132,1986
2006,1,stonefield,3599.699628,2,4,Adult,F,up_valley,121,1986
2007,1,stonefield,3606.703845,4,5,Adult,F,up_valley,152,1986
2008,0,stonefield,4144.091308,1,6,Adult,F,up_valley,131,1986
1990,0,mm,3204.5398,1,1,Yearling,M,up_valley,142,1260
2001,0,mm,3033.218179,2,1,Yearling,M,up_valley,115,1908
2003,1,river,3874.916836,10,1,Yearling,M,down_valley,128,2027
2004,0,river_southmound,NA,NA,2,Adult,M,down_valley,146,2027
2003,0,river,NA,NA,1,Yearling,M,down_valley,128,2033
2003,0,boulder,3276.932312,9,1,Yearling,F,up_valley,128,2044
2003,0,river,3560.295291,9,1,Yearling,M,down_valley,128,1982
2002,1,stonefield,3025.412429,2,2,Adult,M,up_valley,142,4314
2003,0,stonefield,NA,NA,3,Adult,M,up_valley,128,4314
2003,0,river,NA,NA,1,Yearling,M,down_valley,128,2053
2002,0,boulder,4053.187808,4,2,Adult,F,up_valley,142,4315
2002,0,stonefield,3028.358161,1,1,Yearling,M,up_valley,142,1958
2002,1,stonefield,2899.399435,3,1,Yearling,F,up_valley,142,1956
2003,1,stonefield,3487.240899,2,2,Adult,F,up_valley,128,1956
2004,0,stonefield,3040.318504,2,3,Adult,F,up_valley,146,1956
1998,1,river,4052.845667,7,1,Yearling,F,down_valley,145,1738
1999,1,river,4173.478423,4,2,Adult,F,down_valley,130,1738
2000,1,river,3664.769379,2,3,Adult,F,down_valley,134,1738
2001,1,river,3905.906733,2,4,Adult,F,down_valley,115,1738
2002,1,river,4017.245313,1,5,Adult,F,down_valley,142,1738
2003,1,river,NA,NA,6,Adult,F,down_valley,128,1738
2004,1,river,4140.043049,2,7,Adult,F,down_valley,146,1738
2005,1,river,4365.753897,1,8,Adult,F,down_valley,132,1738
2006,1,river,3993.360227,2,9,Adult,F,down_valley,121,1738
2007,1,river,4164.086279,1,10,Adult,F,down_valley,152,1738
2008,1,river,4050.92058,2,11,Adult,F,down_valley,131,1738
2009,1,river,4092.552602,1,12,Adult,F,down_valley,132,1738
2010,0,river_sprucemound,NA,NA,13,Adult,F,down_valley,158,1738
1981,0,mm,2843.652843,5,1,Yearling,M,up_valley,152,751
2002,1,picnic_lower,3213.75424,7,1,Yearling,F,up_valley,142,1946
2003,1,picnic_upper,3294.254491,13,2,Adult,F,up_valley,128,1946
2004,1,picnic_upper,3017.970269,12,3,Adult,F,up_valley,146,1946
2005,1,picnic,3416.680201,3,4,Adult,F,up_valley,132,1946
2006,1,picnic_upper,3264.657707,7,5,Adult,F,up_valley,121,1946
2007,0,picnic_upper,3833.768781,2,6,Adult,F,up_valley,152,1946
2001,1,picnic_upper,4866.017136,2,2,Adult,M,up_valley,115,4305
2002,0,picnic_upper,4841.753194,3,3,Adult,M,up_valley,142,4305
2003,1,boulder,3326.735242,4,1,Yearling,M,up_valley,128,2048
2005,0,mm,4870.523185,3,3,Adult,M,up_valley,132,2048
1981,0,mm,2302.494123,9,1,Yearling,M,up_valley,152,752
2003,0,boulder,2875.009506,9,1,Yearling,F,up_valley,128,2020
2002,1,picnic_middle,3333.187921,4,2,Adult,F,up_valley,142,4316
2003,1,picnic_middle,3066.828568,2,3,Adult,F,up_valley,128,4316
2004,1,picnic,3045.48734,3,4,Adult,F,up_valley,146,4316
2005,0,picnic_lower,NA,NA,5,Adult,F,up_valley,132,4316
2001,1,boulder,2690.359941,1,2,Adult,M,up_valley,115,4306
2002,1,picnic_lower,3909.470544,4,3,Adult,M,up_valley,142,4306
2003,1,picnic_upper,4128.802716,9,4,Adult,M,up_valley,128,4306
2004,1,picnic_upper,4324.266969,5,5,Adult,M,up_valley,146,4306
2005,0,picnic_upper,4339.867413,3,6,Adult,M,up_valley,132,4306
1998,0,river,3972.476954,1,1,Yearling,M,down_valley,145,1749
2001,1,stonefield,2460.879381,2,2,Adult,F,up_valley,115,4307
2002,1,stonefield,3361.711063,4,3,Adult,F,up_valley,142,4307
2003,1,stonefield,3271.970739,2,4,Adult,F,up_valley,128,4307
2004,0,stonefield,3200.485869,2,5,Adult,F,up_valley,146,4307
2002,0,picnic_lower,2936.274133,2,1,Yearling,M,up_valley,142,1949
2001,1,stonefield,2443.13124,1,2,Adult,F,up_valley,115,4308
2002,1,stonefield,2746.158245,2,3,Adult,F,up_valley,142,4308
2003,1,stonefield,2918.092657,1,4,Adult,F,up_valley,128,4308
2006,1,northpk,3151.618833,1,7,Adult,F,up_valley,121,4308
2007,1,northpk,3243.92006,3,8,Adult,F,up_valley,152,4308
2008,0,northpk,2781.179864,2,9,Adult,F,up_valley,131,4308
2001,1,boulder,3085.185628,1,2,Adult,F,up_valley,115,3938
2002,0,boulder,3194.50993,7,3,Adult,F,up_valley,142,3938
2003,1,river,4170.694114,8,1,Yearling,M,down_valley,128,1983
2004,0,river_southmound,NA,NA,2,Adult,M,down_valley,146,1983
2003,0,stonefield,3334.913716,3,1,Yearling,M,up_valley,128,1991
2003,0,river,3181.781313,10,1,Yearling,F,down_valley,128,2024
1984,0,falls,2544.932119,1,1,Yearling,F,SATELLITE,145,859
1998,1,bench,3598.245024,5,1,Yearling,F,down_valley,145,1699
1999,0,river,2974.088143,3,2,Adult,F,down_valley,130,1699
2003,1,river,2696.435675,5,1,Yearling,F,down_valley,128,1981
2004,0,river_southmound,NA,NA,2,Adult,F,down_valley,146,1981
2002,1,picnic_lower,4028.033421,6,2,Adult,F,up_valley,142,4317
2003,1,picnic_lower,3194.899343,9,3,Adult,F,up_valley,128,4317
2004,1,picnic_lower,3111.27992,8,4,Adult,F,up_valley,146,4317
2005,1,picnic_upper,3704.132776,5,5,Adult,F,up_valley,132,4317
2006,1,picnic_upper,3317.346318,5,6,Adult,F,up_valley,121,4317
2007,0,picnic_lower,NA,NA,7,Adult,F,up_valley,152,4317
2002,0,stonefield,2719.661092,1,1,Yearling,F,up_valley,142,1957
2003,0,mm,3008.310045,2,1,Yearling,F,up_valley,128,2000
2002,1,picnic_upper,3333.225404,1,2,Adult,M,up_valley,142,4318
2003,0,boulder,3988.157731,4,3,Adult,M,up_valley,128,4318
2002,1,picnic_lower,5287.253631,3,2,Adult,M,up_valley,142,4319
2003,1,picnic_lower,NA,NA,3,Adult,M,up_valley,128,4319
2004,1,picnic_lower,5017.151108,2,4,Adult,M,up_valley,146,4319
2005,1,picnic_lower,5128.573551,3,5,Adult,M,up_valley,132,4319
2006,0,picnic_lower,5683.991994,1,6,Adult,M,up_valley,121,4319
2002,1,picnic_middle,5077.171413,2,2,Adult,M,up_valley,142,4320
2003,1,picnic_middle,4467.458281,3,3,Adult,M,up_valley,128,4320
2004,1,picnic,4983.567262,4,4,Adult,M,up_valley,146,4320
2005,1,picnic,5105.409549,3,5,Adult,M,up_valley,132,4320
2006,1,picnic_upper,5522.1708,1,6,Adult,M,up_valley,121,4320
2007,0,picnic,5447.948688,3,7,Adult,M,up_valley,152,4320
1984,0,mm,2288.380299,2,1,Yearling,F,up_valley,145,864
1998,1,river,3857.340088,6,1,Yearling,F,down_valley,145,1739
1999,1,river,3334.20926,2,2,Adult,F,down_valley,130,1739
2000,1,river,4348.946645,2,3,Adult,F,down_valley,134,1739
2001,1,river,3902.452735,3,4,Adult,F,down_valley,115,1739
2002,1,river,4143.451574,5,5,Adult,F,down_valley,142,1739
2003,1,river,4061.994768,3,6,Adult,F,down_valley,128,1739
2004,1,river,3922.923471,5,7,Adult,F,down_valley,146,1739
2005,1,river,3593.902709,3,8,Adult,F,down_valley,132,1739
2006,1,river,3965.79134,3,9,Adult,F,down_valley,121,1739
2007,1,river,4313.972467,1,10,Adult,F,down_valley,152,1739
2008,1,river,3883.899539,3,11,Adult,F,down_valley,131,1739
2009,0,river,4056.034029,1,12,Adult,F,down_valley,132,1739
2001,0,picnic_upper,2829.419684,1,1,Yearling,M,up_valley,115,1916
2001,1,stonefield,4248.344945,1,2,Adult,M,up_valley,115,4309
2002,1,picnic_lower,5541.679524,5,3,Adult,M,up_valley,142,4309
2003,0,picnic_lower,5403.602501,7,4,Adult,M,up_valley,128,4309
2003,1,mm,3687.365262,3,1,Yearling,M,up_valley,128,2003
2004,0,mm_aspen,NA,NA,2,Adult,M,up_valley,146,2003
1990,0,falls,NA,NA,1,Yearling,M,SATELLITE,142,1267
1990,1,river,3155.710317,14,1,Yearling,F,down_valley,142,1297
1991,1,river,3887.952071,8,2,Adult,F,down_valley,123,1297
1992,1,river,4249.643715,8,3,Adult,F,down_valley,156,1297
1993,1,river,4187.388372,8,4,Adult,F,down_valley,140,1297
1994,1,river,4032.879844,1,5,Adult,F,down_valley,170,1297
1995,1,river,4262.144662,4,6,Adult,F,down_valley,140,1297
1996,1,river,4468.05786,5,7,Adult,F,down_valley,152,1297
1997,1,river,4023.567138,2,8,Adult,F,down_valley,140,1297
1998,1,river,4554.250722,3,9,Adult,F,down_valley,145,1297
1999,0,river,3412.212103,9,10,Adult,F,down_valley,130,1297
2003,1,picnic_lower,3161.571921,16,1,Yearling,F,up_valley,128,2008
2004,1,picnic_lower,4032.184729,8,2,Adult,F,up_valley,146,2008
2005,1,picnic_lower,3319.792035,7,3,Adult,F,up_valley,132,2008
2006,1,picnic,3134.952469,8,4,Adult,F,up_valley,121,2008
2007,1,picnic_upper,4482.928036,5,5,Adult,F,up_valley,152,2008
2008,1,picnic_upper,NA,NA,6,Adult,F,up_valley,131,2008
2009,1,picnic_upper,3421.282626,3,7,Adult,F,up_valley,132,2008
2010,1,picnic_lower,3555.400902,6,8,Adult,F,up_valley,158,2008
2011,0,picnic_lower,NA,NA,9,Adult,F,up_valley,113,2008
2001,1,mm,3291.223806,8,1,Yearling,F,up_valley,115,1902
2002,1,mm,4531.696245,7,2,Adult,F,up_valley,142,1902
2003,0,mm,3302.498074,8,3,Adult,F,up_valley,128,1902
1977,0,pikacliff,NA,NA,2,Adult,F,SATELLITE,155,4129
1998,0,river,4053.539561,2,1,Yearling,M,down_valley,145,1750
1984,1,falls,2598.775462,1,1,Yearling,F,SATELLITE,145,860
1985,1,falls,2544.316102,1,2,Adult,F,SATELLITE,149,860
1986,1,falls,2798.547574,1,3,Adult,F,SATELLITE,132,860
1987,1,rvbend,3016.443323,1,4,Adult,F,down_valley,135,860
1988,1,falls,2856.00304,4,5,Adult,F,SATELLITE,132,860
1989,1,falls,3237.672992,2,6,Adult,F,SATELLITE,138,860
1990,1,falls,3255.922129,4,7,Adult,F,SATELLITE,142,860
1991,0,rvbend,NA,NA,8,Adult,F,down_valley,123,860
2003,1,stonefield,3248.592714,3,1,Yearling,F,up_valley,128,1987
2004,0,stonefield_south,NA,NA,2,Adult,F,up_valley,146,1987
2003,1,stonefield,3455.457522,4,1,Yearling,M,up_valley,128,1988
2004,0,picnic_lower,4759.973169,4,2,Adult,M,up_valley,146,1988
2003,1,river,3095.11063,14,1,Yearling,F,down_valley,128,2052
2004,1,river,3318.406057,17,2,Adult,F,down_valley,146,2052
2005,0,river,3508.792309,9,3,Adult,F,down_valley,132,2052
2003,1,picnic_lower,2990.934829,8,1,Yearling,F,up_valley,128,2005
2004,1,picnic_lower,3272.844191,7,2,Adult,F,up_valley,146,2005
2005,1,picnic,3080.502796,8,3,Adult,F,up_valley,132,2005
2006,1,picnic_lower,3115.624022,13,4,Adult,F,up_valley,121,2005
2007,0,picnic_lower,3024.407842,8,5,Adult,F,up_valley,152,2005
2003,0,stonefield,3075.657773,2,1,Yearling,M,up_valley,128,1989
2003,0,bench,5298.177083,5,1,Yearling,M,down_valley,128,1978
1974,1,coppercreek,NA,NA,3,Adult,F,SATELLITE,157,4088
1975,0,coppercreek,2787.679075,1,4,Adult,F,SATELLITE,135,4088
1990,1,river,3077.871728,10,1,Yearling,F,down_valley,142,1298
1991,1,river,3644.771295,10,2,Adult,F,down_valley,123,1298
1992,1,river,3940.722298,7,3,Adult,F,down_valley,156,1298
1993,1,river,4250.63523,8,4,Adult,F,down_valley,140,1298
1994,1,river,4109.990726,1,5,Adult,F,down_valley,170,1298
1995,1,river,3709.585631,7,6,Adult,F,down_valley,140,1298
1996,1,river,4444.784824,5,7,Adult,F,down_valley,152,1298
1997,1,river,4537.730612,3,8,Adult,F,down_valley,140,1298
1998,1,river,4249.114311,5,9,Adult,F,down_valley,145,1298
1999,0,river,4277.593486,3,10,Adult,F,down_valley,130,1298
1981,0,cliff,2635.301809,2,1,Yearling,F,up_valley,152,727
2002,1,picnic_lower,3159.265613,3,1,Yearling,F,up_valley,142,1947
2003,0,northpk,2956.043091,4,2,Adult,F,up_valley,128,1947
2003,0,cliff,3611.991684,5,1,Yearling,M,up_valley,128,2019
2002,0,picnic_lower,2917.91702,1,1,Yearling,M,up_valley,142,1950
1981,0,cliff,2806.983112,1,1,Yearling,M,up_valley,152,735
1975,1,kylecabin,NA,NA,1,Yearling,F,SATELLITE,135,466
1976,0,mm,2715.705618,1,2,Adult,F,up_valley,116,466
2003,1,picnic_lower,3216.558629,19,1,Yearling,F,up_valley,128,2056
2004,1,picnic_lower,3766.49517,9,2,Adult,F,up_valley,146,2056
2005,1,picnic,3493.836257,10,3,Adult,F,up_valley,132,2056
2006,1,picnic_lower,3918.190544,6,4,Adult,F,up_valley,121,2056
2007,1,picnic,3896.880443,11,5,Adult,F,up_valley,152,2056
2008,1,picnic_upper,4425.046502,3,6,Adult,F,up_valley,131,2056
2009,1,picnic_middle,3274.101311,8,7,Adult,F,up_valley,132,2056
2010,0,picnic_lower,3996.851928,3,8,Adult,F,up_valley,158,2056
2002,0,bench,4335.619796,1,1,Yearling,M,down_valley,142,1937
