year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2019,gothictown,down_valley,F,YES,gothictown,High,157,20334,5,Adult,2286.49618,3349
2016,gothictown,down_valley,F,YES,gothictown,High,61,10358,2,Adult,1892.021234,3349
2017,river_southmound,down_valley,F,YES,rvbench,Low,5,24156,5,Adult,2760.978045,3178
2014,river_rivermound,down_valley,F,YES,rvbench,Low,21,27776,2,Adult,2518.432355,3178
2016,river_sprucemound,down_valley,F,YES,rvbench,Low,10,14535,4,Adult,2548.588412,3178
2015,river_rivermound,down_valley,F,YES,rvbench,Low,3,34688,3,Adult,2642.661339,3178
2018,river_rivermound,down_valley,F,YES,rvbench,Low,18,18652,6,Adult,2871.245267,3178
2012,picnic_lower,up_valley,F,YES,picnic,High,11,10299,2,Adult,,3117
2014,picnic_middle,up_valley,M,NO,picnic,High,16,13924,2,Adult,2675.08233,3166
2014,picnic_lower,up_valley,F,NO,picnic,High,16,13924,4,Adult,,4376
2012,picnic_upper,up_valley,F,YES,picnic,High,11,10299,2,Adult,2106.866162,4376
2013,picnic_middle,up_valley,F,YES,picnic,High,17,13644,3,Adult,2287.576738,4376
2017,boulder,up_valley,F,YES,boulder,High,5,1738,2,Adult,2073.169267,3469
2018,picnic_lower,up_valley,F,YES,picnic,High,65,15311,4,Adult,2540.825294,3395
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,3,Adult,2170.87263,3395
2016,picnic_lower,up_valley,F,YES,picnic,High,14,10896,2,Adult,1975.897644,3395
2019,boulder,up_valley,F,NO,boulder,High,9,1849,5,Adult,1972.729836,3395
2017,mm_aspen,up_valley,F,YES,mm,Low,10,14347,2,Adult,1638.536134,3442
2018,mm_aspen,up_valley,F,NO,mm,High,26,15549,3,Adult,2408.558522,3442
2018,boulder,up_valley,M,YES,boulder,High,10,3172,3,Adult,2973.070088,4405
2019,boulder,up_valley,M,YES,boulder,High,9,1849,4,Adult,2339.392975,4405
2017,boulder,up_valley,M,YES,boulder,High,5,1738,2,Adult,2200.990402,4405
2020,boulder,up_valley,M,YES,,Low,,,5,Adult,3013.957561,4405
2019,rvannex,down_valley,F,YES,rvbench,Low,23,15854,4,Adult,2363.074288,3459
2020,rvannex,down_valley,F,YES,rvbench,Low,5,9475,5,Adult,2441.546452,3459
2018,rvannex,down_valley,F,YES,rvbench,Low,18,18652,3,Adult,2368.073964,3459
2017,rvannex,down_valley,F,YES,rvbench,Low,5,24156,2,Adult,1915.044991,3459
2016,mm_maintalus,up_valley,M,NO,mm,High,10,10160,2,Adult,,3340
2016,picnic_lower,up_valley,F,NO,picnic,High,14,10896,2,Adult,1920.606388,3370
2014,picnic_lower,up_valley,M,YES,picnic,High,16,13924,2,Adult,2913.408374,3948
2015,picnic_lower,up_valley,M,NO,picnic,Low,9,13511,3,Adult,3255.278708,3948
2017,river_southmound,down_valley,M,NO,rvbench,Low,5,24156,2,Adult,,3445
2019,rvannex,down_valley,F,YES,rvbench,Low,23,15854,4,Adult,2382.200502,3461
2017,rvannex,down_valley,F,YES,rvbench,Low,5,24156,2,Adult,2099.423732,3461
2018,rvannex,down_valley,F,YES,rvbench,Low,18,18652,3,Adult,2719.744997,3461
2020,rvannex,down_valley,F,YES,rvbench,Low,5,9475,5,Adult,2671.648978,3461
2014,gothictown,down_valley,M,YES,gothictown,High,17,8106,2,Adult,1788.431088,4385
